GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1406468045	2022-04-27 19:01:11.281916	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-27	08:45:00	obsr106380	S108243079	Traveling	P22	EBIRD	556	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1395282691	2022-04-17 13:58:17.682934	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			B	L17937964	P	32.1761960	-86.3521210	2022-04-17	12:34:00	obsr2929208	S107306009	Stationary	P21	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392440606	2022-04-15 00:52:54.275477	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Ramer, Alabama	L5830207	P	32.0545640	-86.2193860	2022-04-13	09:25:00	obsr688433	S107066743	Stationary	P21	EBIRD	90			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1390896710	2022-04-13 10:46:02.427413	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-13	09:41:00	obsr698531	S106936700	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404092179	2022-04-25 15:20:26.311704	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18372	L11278163	P	32.3404920	-86.1837210	2022-04-25	14:19:00	obsr698531	S108044120	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401529663	2022-04-23 17:28:12.614694	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-22	16:15:00	obsr940190	S107831542	Stationary	P21	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1409866377	2022-04-30 18:31:42.733533	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Alabama State Capitol	L848141	H	32.3776600	-86.3006008	2022-04-30	17:20:00	obsr2924244	S108529082	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1407971622	2022-04-29 10:53:39.145522	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18374	L16586046	P	32.3404870	-86.1837440	2022-04-29	09:50:00	obsr698531	S108368269	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1397643933	2022-04-19 21:08:34.902029	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-18	17:30:00	obsr940190	S107505838	Stationary	P21	EBIRD	60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1402503252	2022-04-24 12:16:27.114068	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-24	10:35:00	obsr186678	S107910714	Traveling	P22	EBIRD	40	2.250		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406520259	2022-04-27 20:10:10.511528	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-27	18:10:00	obsr940190	S108248916	Stationary	P21	EBIRD	40			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1399219264	2022-04-21 15:35:13.377915	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-21	08:20:00	obsr940190	S107635120	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401681211	2022-04-23 19:14:44.997364	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-23	12:11:00	obsr149533	S107843743	Traveling	P22	EBIRD	100	2.500		2	1	G8229322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1399866633	2022-04-22 10:14:05.488049	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Rudder Rd., Hope Hull	L982093	H	32.2531502	-86.3512194	2022-04-22	09:02:00	obsr143232	S107688398	Traveling	P22	EBIRD	11	0.572		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1408469182	2022-04-29 18:06:00.96832	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-29	16:42:00	obsr665305	S108409715	Stationary	P21	EBIRD	9			1	1		0	1	0		Four or five White-winged Doves flushed from tree as Cooper’s Hawk flew in.  He chased one but gave up quickly.		
URN:CornellLabOfOrnithology:EBIRD:OBS1381711322	2022-04-03 10:26:26.90326	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-03	08:35:00	obsr186678	S106168318	Traveling	P22	EBIRD	42	1.500		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401374894	2022-04-23 19:14:44.997364	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				7					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-23	12:11:00	obsr186678	S107815811	Traveling	P22	EBIRD	100	2.500		2	1	G8229322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1399219266	2022-04-21 15:35:13.379879	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-21	08:20:00	obsr940190	S107635120	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404432730	2022-04-25 20:52:20.280927	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-25	15:10:00	obsr106380	S108074389	Traveling	P22	EBIRD	180	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1380997476	2022-04-02 15:23:07.051916	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			400 North Perry Street, Montgomery, Alabama, US (32.383, -86.308)	L18343673	P	32.3826710	-86.3078737	2022-04-02	13:58:00	obsr979173	S106109842	Traveling	P22	EBIRD	21	0.274		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1387155372	2022-04-09 14:05:57.833672	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Lagoon Park	L2612971	H	32.4151632	-86.2256974	2022-04-09	13:02:00	obsr1193197	S106623991	Stationary	P21	EBIRD	3			1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1407322571	2022-04-28 16:33:05.292012	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-13	11:41:00	obsr456189	S108312967	Traveling	P22	EBIRD	61	4.380		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1402426931	2022-04-24 11:39:03.002445	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-24	10:24:00	obsr665305	S107905203	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 78 degrees mostly sunny. Feeder’s empty.		
URN:CornellLabOfOrnithology:EBIRD:OBS1402479222	2022-04-24 12:04:43.416408	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-23	16:10:00	obsr940190	S107909014	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1398570339	2022-04-20 21:27:18.377904	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			home - back yard	L8643237	P	32.0492756	-86.2220963	2022-04-19	09:08:00	obsr688433	S107583088	Stationary	P21	EBIRD	180			1	1		0	1	0			parents with 3 fledglings	
URN:CornellLabOfOrnithology:EBIRD:OBS1390003070	2022-04-12 11:12:32.161096	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-12	10:09:00	obsr698531	S106863265	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1389136290	2022-04-11 11:47:45.789622	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34047, -86.18369	L13538170	P	32.3404660	-86.1836940	2022-04-11	10:44:00	obsr698531	S106790830	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404086118	2022-04-25 15:18:41.135448	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18373	L13474452	P	32.3404890	-86.1837320	2022-04-25	14:14:00	obsr698531	S108043970	Stationary	P21	EBIRD	60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1397444646	2022-04-19 17:04:07.122064	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-19	15:52:00	obsr665305	S107488904	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch. Feeders empty, dogs in neighboring yard.		
URN:CornellLabOfOrnithology:EBIRD:OBS1388107988	2022-04-10 12:09:49.028165	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34049, -86.18374	L16586046	P	32.3404870	-86.1837440	2022-04-10	11:08:00	obsr698531	S106704144	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1397643929	2022-04-19 21:08:34.898762	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-18	17:30:00	obsr940190	S107505838	Stationary	P21	EBIRD	60			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1405851373	2022-04-27 09:20:35.393828	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-26	16:30:00	obsr940190	S108190767	Stationary	P21	EBIRD	25			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1402841347	2022-04-24 15:47:55.748077	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-24	14:26:00	obsr665305	S107940567	Stationary	P21	EBIRD	11			1	1		0	1	0		Back yard. Feeders empty.		
URN:CornellLabOfOrnithology:EBIRD:OBS1392227673	2022-04-14 18:53:03.9835	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34040, -86.18368	L11070612	P	32.3404000	-86.1836790	2022-04-14	17:44:00	obsr698531	S107050579	Stationary	P21	EBIRD	40			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1404750872	2022-04-26 08:39:06.206123	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34040, -86.18370	L12534769	P	32.3403960	-86.1837050	2022-04-26	07:35:00	obsr698531	S108098311	Stationary	P21	EBIRD	20			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406112978	2022-04-27 13:04:04.470428	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-27	09:00:00	obsr940190	S108212436	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1381733610	2022-04-03 10:46:04.45269	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-03	09:38:00	obsr186678	S106170661	Stationary	P21	EBIRD	8			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392508473	2022-04-15 05:27:18.534708	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			10095 Chantilly Pkwy, Montgomery US-AL 32.36388, -86.13605	L18510953	P	32.3638830	-86.1360550	2022-04-15	04:23:00	obsr183378	S107071320	Stationary	P21	EBIRD	3			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392090483	2022-04-14 17:28:27.005965	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2022-04-14	14:33:00	obsr238522	S107037384	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1386926685	2022-04-09 11:10:48.288557	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-09	09:44:00	obsr665305	S106604211	Stationary	P21	EBIRD	11			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1387105173	2022-04-09 13:24:36.142434	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-09	12:14:00	obsr665305	S106619558	Stationary	P21	EBIRD	10			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1385180932	2022-04-07 10:40:48.072719	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-07	09:30:00	obsr665305	S106458097	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch. 63 degrees sunny.		
URN:CornellLabOfOrnithology:EBIRD:OBS1406468037	2022-04-27 19:01:11.261921	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-27	08:45:00	obsr106380	S108243079	Traveling	P22	EBIRD	556	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1389982986	2022-04-12 10:39:49.371754	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-12	09:28:00	obsr665305	S106860690	Stationary	P21	EBIRD	11			1	1		0	1	0		Sun porch.		
URN:CornellLabOfOrnithology:EBIRD:OBS1401681214	2022-04-23 19:14:44.997364	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				7					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2022-04-23	12:11:00	obsr149533	S107843743	Traveling	P22	EBIRD	100	2.500		2	1	G8229322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1392219818	2022-04-14 18:38:24.32366	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Sellers	L18506936	P	32.3524490	-86.2841840	2022-04-14	16:34:00	obsr2929208	S107049468	Traveling	P22	EBIRD	63	0.360		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1380928714	2022-04-02 14:19:13.019497	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18369	L11676932	P	32.3404500	-86.1836880	2022-04-02	13:15:00	obsr698531	S106103309	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1396084286	2022-04-18 09:27:56.85207	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-18	08:25:00	obsr698531	S107374516	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1399431875	2022-04-21 19:59:31.667583	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-21	18:08:00	obsr665305	S107656420	Traveling	P22	EBIRD	11	0.326		1	1		0	1	0		Feeders empty		
URN:CornellLabOfOrnithology:EBIRD:OBS1390896705	2022-04-13 10:46:02.419412	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-13	09:41:00	obsr698531	S106936700	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1390487495	2022-04-12 20:06:51.638046	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-12	18:56:00	obsr665305	S106905204	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1388655050	2022-04-10 20:17:26.792927	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-10	19:08:00	obsr665305	S106752892	Stationary	P21	EBIRD	9			1	1		0	1	0		Back yard.		
URN:CornellLabOfOrnithology:EBIRD:OBS1380121705	2022-04-01 16:39:29.952856	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Backyard	L9481690	P	32.3695524	-86.2294713	2022-04-01	14:59:00	obsr405141	S106034174	Stationary	P21	EBIRD	39			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1386441127	2022-04-08 19:26:09.759639	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-08	17:40:00	obsr940190	S106564165	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1410457771	2022-05-01 09:10:10.823579	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-29	18:00:00	obsr940190	S108575942	Stationary	P21	EBIRD	40			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1384585248	2022-04-06 14:06:13.502566	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34045, -86.18370	L10967029	P	32.3404500	-86.1837040	2022-04-06	13:03:00	obsr698531	S106408234	Stationary	P21	EBIRD	2			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1406077909	2022-04-27 12:30:42.080265	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Gunter Hill Park	L2612930	H	32.3582845	-86.4544322	2022-04-26	17:00:00	obsr106380	S108209563	Traveling	P22	EBIRD	60	1.609		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401451075	2022-04-23 16:12:25.298428	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-23	15:04:00	obsr665305	S107822794	Stationary	P21	EBIRD	8			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1401088243	2022-04-23 12:00:18.167589	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34050, -86.18367	L13733013	P	32.3404960	-86.1836690	2022-04-23	10:55:00	obsr698531	S107791524	Stationary	P21	EBIRD	60			1	1		0	1	0			2 juveniles	
URN:CornellLabOfOrnithology:EBIRD:OBS1407893996	2022-04-29 09:56:19.940866	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-28	16:15:00	obsr940190	S108363029	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1396158605	2022-04-18 10:53:15.113324	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-18	09:22:00	obsr665305	S107381817	Stationary	P21	EBIRD	12			1	1		0	1	0		Sun porch. 65 degrees misty but it appears clouds may soon move out.		
URN:CornellLabOfOrnithology:EBIRD:OBS1409167959	2022-04-30 11:07:03.099754	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1642 Meadow Oak Ct, Montgomery US-AL 32.34043, -86.18379	L12518390	P	32.3404340	-86.1837930	2022-04-30	09:51:00	obsr698531	S108469914	Stationary	P21	EBIRD	14			1	1		0	1	0			2 adults and 3 juv	
URN:CornellLabOfOrnithology:EBIRD:OBS1397645297	2022-04-19 21:06:18.2973	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-12	17:55:00	obsr940190	S107505744	Stationary	P21	EBIRD	35			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1386948680	2022-04-09 11:27:24.211302	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home	L5282730	P	32.3804326	-86.2308741	2022-04-09	10:14:00	obsr665305	S106605987	Stationary	P21	EBIRD	12			1	1		0	1	0		Sun porch. Breezy.		
URN:CornellLabOfOrnithology:EBIRD:OBS1410438772	2022-05-01 09:12:50.909532	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Home Area	L6052570	P	32.3776781	-86.2292218	2022-04-30	17:35:00	obsr940190	S108576299	Stationary	P21	EBIRD	55			1	1		0	1	0				
